User_id,Gender,Location,Max_transaction_date,No_of_transactions,No_of_transactions_weekends,No_of_transactions_weekdays,No_of_transactions_after_2PM,No_of_transactions_after_2PM,No_of_transactions_before_2PM,Total_spend,Total_discount_amount,Discount_percentage,Total_quantity,No_of_transactions_with_discount_more_than_20pct,No_of_distinct_products_purchased,No_of_distinct_segments_purchased,No_of_distinct_styles_purchased,segment,,
1,F,South,23:00.0,6,1,5,4,2,387,58.44,15.1007,15,0,6,2,4,6,Low,2250,total quantity sold for all products
2,M,South,44:00.0,2,0,2,1,1,430,87,20.2325,10,1,2,1,2,2,Low,156136.75,total generated revenue for all products before discounts
3,F,South,57:00.0,6,1,5,2,4,655,113.99,17.403,22,3,5,2,4,5,Medium,21553.2031,total discount amount for all products
4,F,North,38:00.0,10,2,8,5,5,971,134.58,13.8599,25,0,6,2,4,6,Medium,12.09495123,average discount value per transaction
5,M,South,56:00.0,5,2,3,0,5,444,54.17,12.2004,16,1,4,2,3,4,Low,,
6,M,South,09:00.0,9,5,4,5,4,832,121.95,14.6574,36,2,7,2,4,7,Medium,293.44,top 3 products by total revenue before discount
7,M,North,17:00.0,7,1,6,3,4,602,81.56,13.5481,19,1,6,2,4,6,Medium,,
8,M,North,06:00.0,6,0,6,4,2,424,53.53,12.625,19,1,5,2,3,5,Low,,5821.3453
9,F,South,40:00.0,9,4,5,4,5,800,83.06,10.3825,27,1,6,2,4,6,Medium,,
10,M,South,05:00.0,8,5,3,2,6,474,59.34,12.5189,24,0,4,2,3,4,Low,,
11,M,North,34:00.0,9,2,7,2,7,843,121.9,14.4602,33,2,6,2,3,6,Medium,,
12,M,South,34:00.0,10,1,9,3,7,701,83.41,11.8987,24,2,8,2,4,8,Medium,,
13,F,North,53:00.0,10,1,9,4,6,1010,159.62,15.8039,27,1,4,2,3,4,High,,
14,M,South,42:00.0,11,3,8,3,8,947,96.98,10.2407,29,0,8,2,4,8,Medium,,
15,M,South,43:00.0,5,2,3,1,4,659,69.74,10.5827,17,0,5,2,3,5,Medium,,
16,F,South,38:00.0,9,3,6,5,4,557,85.07,15.2728,28,2,6,2,4,6,Medium,,
17,M,South,35:00.0,12,4,8,6,6,540,72.96,13.5111,21,2,7,2,4,7,Medium,,
18,M,South,11:00.0,7,1,6,3,4,491,76.37,15.5539,24,2,4,2,3,4,Low,,
19,M,South,54:00.0,11,6,5,3,8,1078,137.59,12.7634,33,0,8,2,4,8,High,,
20,M,North,41:00.0,8,3,5,4,4,521,63.74,12.2341,21,1,5,2,4,5,Medium,,
21,F,South,03:00.0,9,1,8,4,5,770,136.75,17.7597,26,1,7,2,4,7,Medium,,
22,F,South,21:00.0,12,2,10,5,7,1263,179.87,14.2414,40,2,8,2,4,8,High,,
23,M,South,31:00.0,15,4,11,6,9,1403,166.18,11.8446,40,2,9,2,4,9,High,,
24,M,South,12:00.0,7,1,6,5,2,766,102.7,13.4073,24,2,5,2,4,5,Medium,,
25,F,North,37:00.0,6,3,3,3,3,680,80.05,11.772,16,1,5,2,3,5,Medium,,
26,F,South,48:00.0,9,1,8,6,3,444,53.62,12.0765,25,0,6,2,4,6,Low,,
